window_end_doy,window_end_date,n,coef,stderr,t,p,r2
152,06-01,174,-0.12004938271605049,0.13360692113084094,-0.8985266758634938,0.37029849682404176,0.3624803576686648
159,06-08,174,1.3723164501717711e-16,1.779290047267834e-16,0.7712719195383654,0.4417124286667757,0.3591597021679923
166,06-15,174,-0.04119835408314034,0.052434161786408244,-0.785715889785037,0.4332333938575396,0.3617019791881406
173,06-22,174,-0.02939768219646909,0.02243070297286561,-1.310600128405758,0.19193152378754597,0.36618350403738065
180,06-29,174,0.010588923755406944,0.023536785960323364,0.4498882631323154,0.6534195521327723,0.35999542200114787
187,07-06,174,0.01499223774672886,0.015501855578406028,0.9671253657925273,0.33498795973797846,0.3630035911325291
194,07-13,174,-0.005679766430716833,0.016569590032855228,-0.3427825564455508,0.7322264716263833,0.3596451319795555
201,07-20,174,-0.05593942348948764,0.015327474585466619,-3.6496177617237042,0.00035842642078918926,0.40987156953847304
208,07-27,174,-0.042852561112787534,0.012945865983941512,-3.3101347693497902,0.001159903194522912,0.4014699540379276
215,08-03,174,-0.01984952765142944,0.016330550893069264,-1.2154842651299438,0.22602954737553418,0.3652102802375474
222,08-10,174,-0.01212867230999038,0.012127925963405005,-1.000061539507054,0.3188394039096309,0.3632681551716531
229,08-17,174,-0.03857340282447894,0.014502538893230471,-2.6597689624183203,0.008641376944852348,0.38713168780552365
236,08-24,174,-0.057291654523980926,0.01339634505970176,-4.2766630949454205,3.305358790068104e-05,0.42679708157708107
243,08-31,174,-0.042487955340269556,0.016507418891616256,-2.573870307601404,0.010993773878831839,0.38542698257993613
250,09-07,174,0.023001143437937337,0.040724846218592944,0.5647938684526242,0.5730304641025866,0.3604758515870571
257,09-14,174,0.011063206495780846,0.0456272292922284,0.24246939091840103,0.8087370106524421,0.35940268034091494
